,Date,Open,High,Low,Close,Adj Close,Volume
196,2019-09-16,246.0,247.43,241.17,242.81,242.81,4728100
197,2019-09-17,242.47,245.6,240.37,244.79,244.79,3865400
198,2019-09-18,245.0,248.17,242.37,243.49,243.49,4170200
199,2019-09-19,246.0,247.94,244.84,246.6,246.6,4795800
200,2019-09-20,246.49,246.95,238.16,240.62,240.62,6353000
201,2019-09-23,240.0,245.18,239.22,241.23,241.23,4340200
202,2019-09-24,241.52,241.99,222.61,223.21,223.21,12891500
203,2019-09-25,224.56,228.98,218.36,228.7,228.7,9427100
204,2019-09-26,230.66,243.31,227.4,242.56,242.56,11884500
205,2019-09-27,242.2,248.71,238.73,242.13,242.13,11116400
206,2019-09-30,243.0,243.98,236.11,240.87,240.87,5879800
207,2019-10-01,241.5,245.95,239.13,244.69,244.69,6162600
208,2019-10-02,243.29,244.65,239.43,243.13,243.13,5631400
209,2019-10-03,231.86,234.48,224.28,233.03,233.03,15084500
210,2019-10-04,231.61,234.78,228.07,231.43,231.43,7995000
211,2019-10-07,229.8,238.56,228.55,237.72,237.72,8064200
212,2019-10-08,235.87,243.94,234.5,240.05,240.05,8678200
213,2019-10-09,241.32,247.3,240.65,244.53,244.53,6894400
214,2019-10-10,245.28,249.28,241.58,244.74,244.74,6283300
215,2019-10-11,247.15,251.08,246.81,247.89,247.89,8475400
216,2019-10-14,247.9,258.55,247.13,256.96,256.96,10205000
217,2019-10-15,257.7,260.0,254.12,257.89,257.89,6432800
218,2019-10-16,257.39,262.1,256.92,259.75,259.75,6684100
219,2019-10-17,262.5,264.78,260.17,261.97,261.97,4769300
220,2019-10-18,260.7,262.8,255.1,256.95,256.95,5749800
221,2019-10-21,258.33,259.5,250.18,253.5,253.5,5020300
222,2019-10-22,254.32,258.33,250.85,255.58,255.58,4600800
223,2019-10-23,254.5,256.14,251.35,254.68,254.68,5261100
224,2019-10-24,298.37,304.93,289.2,299.68,299.68,29720900
225,2019-10-25,297.72,330.0,296.11,328.13,328.13,30006100
226,2019-10-28,327.54,340.84,322.6,327.71,327.71,18870300
227,2019-10-29,319.99,324.3,314.75,316.22,316.22,12684300
228,2019-10-30,313.0,318.79,309.97,315.01,315.01,9641800
229,2019-10-31,313.1,319.0,313.0,314.92,314.92,5067000
230,2019-11-01,316.32,316.48,309.8,313.31,313.31,6383900
231,2019-11-04,314.8,321.94,309.26,317.47,317.47,8787000
232,2019-11-05,319.62,323.51,316.12,317.22,317.22,6943400
233,2019-11-06,318.0,326.72,314.5,326.58,326.58,7940900
234,2019-11-07,329.14,341.5,328.02,335.54,335.54,14467300
235,2019-11-08,334.5,337.46,332.5,337.14,337.14,6069200
236,2019-11-11,343.95,349.19,342.0,345.09,345.09,9986700
237,2019-11-12,346.9,350.37,344.04,349.93,349.93,7359400
238,2019-11-13,355.0,356.33,345.18,346.11,346.11,8420100
239,2019-11-14,346.11,353.84,342.91,349.35,349.35,6464900
240,2019-11-15,350.64,352.8,348.36,352.17,352.17,4809000
241,2019-11-18,352.92,353.15,346.1,349.99,349.99,4400400
242,2019-11-19,351.75,359.99,347.8,359.52,359.52,7724800
243,2019-11-20,360.0,361.2,349.57,352.22,352.22,6725100
244,2019-11-21,354.51,360.84,354.0,354.83,354.83,6110000
245,2019-11-22,340.16,341.0,330.0,333.04,333.04,16870600
246,2019-11-25,344.32,344.57,334.46,336.34,336.34,12339500
247,2019-11-26,335.27,335.5,327.1,328.92,328.92,7947400
248,2019-11-27,331.12,333.93,328.57,331.29,331.29,5555600
249,2019-11-29,331.11,331.26,327.5,329.94,329.94,2465600
